,og_index,SRC_AIRPT_ID,SRCNAME,DESTIN_AIRPT_ID,DESTINNAME,seconds,meters,SRCIATA,DESTINIATA
5872,35859,3682,Hartsfield Jackson Atlanta International Airport,3580,Jackson-Medgar Wiley Evers International Airport,54883,1644932,ATL,JAN
5873,35861,3682,Hartsfield Jackson Atlanta International Airport,3797,John F Kennedy International Airport,49131,1489374,ATL,JFK
5874,35862,3682,Hartsfield Jackson Atlanta International Airport,3877,McCarran International Airport,48843,1512360,ATL,LAS
5875,35863,3682,Hartsfield Jackson Atlanta International Airport,3484,Los Angeles International Airport,12010,326753,ATL,LAX
5876,35864,3682,Hartsfield Jackson Atlanta International Airport,4017,Blue Grass Airport,44767,1340568,ATL,LEX
5877,35865,3682,Hartsfield Jackson Atlanta International Airport,3493,Lafayette Regional Airport,54733,1612853,ATL,LFT
5878,35866,3682,Hartsfield Jackson Atlanta International Airport,3697,La Guardia Airport,7953,239622,ATL,LGA
5879,35867,3682,Hartsfield Jackson Atlanta International Airport,507,London Heathrow Airport,35891,1089439,ATL,LHR
5880,35868,3682,Hartsfield Jackson Atlanta International Airport,3660,Bill & Hillary Clinton National Airport/Adams Field,13809,413170,ATL,LIT
5881,35869,3682,Hartsfield Jackson Atlanta International Airport,1229,Adolfo Suárez Madrid–Barajas Airport,59365,1750302,ATL,MAD
5882,35870,3682,Hartsfield Jackson Atlanta International Airport,478,Manchester Airport,15416,476297,ATL,MAN
5883,35872,3682,Hartsfield Jackson Atlanta International Airport,3878,Orlando International Airport,26948,834219,ATL,MCO
5884,35873,3682,Hartsfield Jackson Atlanta International Airport,3542,Harrisburg International Airport,64747,1872099,ATL,MDT
5885,35874,3682,Hartsfield Jackson Atlanta International Airport,3747,Chicago Midway International Airport,47655,1460117,ATL,MDW
5886,35875,3682,Hartsfield Jackson Atlanta International Airport,3473,Memphis International Airport,36525,1094184,ATL,MEM
5887,35876,3682,Hartsfield Jackson Atlanta International Airport,1824,Licenciado Benito Juarez International Airport,11304,339258,ATL,MEX
5888,35877,3682,Hartsfield Jackson Atlanta International Airport,4115,Montgomery Regional (Dannelly Field) Airport,37199,1140860,ATL,MGM
5889,35878,3682,Hartsfield Jackson Atlanta International Airport,4011,Manchester-Boston Regional Airport,6913,200621,ATL,MHT
5890,35879,3682,Hartsfield Jackson Atlanta International Airport,3576,Miami International Airport,29282,845935,ATL,MIA
5891,35880,3682,Hartsfield Jackson Atlanta International Airport,3717,General Mitchell International Airport,16670,473869,ATL,MKE
5892,35881,3682,Hartsfield Jackson Atlanta International Airport,3671,Melbourne International Airport,45315,1357300,ATL,MLB
5893,35882,3682,Hartsfield Jackson Atlanta International Airport,4072,Quad City International Airport,37136,1141684,ATL,MLI
