,Unnamed: 0,SRC_AIRPT_ID,SRCNAME,DESTIN_AIRPT_ID,DESTINNAME,seconds,meters,SRCIATA,DESTINIATA,SRC_AIRPT,DESTN_AIRPT,EQPT,Population,Incoming,Outgoing
98,192,3678,St Louis Lambert International Airport,5744,Kirksville Regional Airport,10660,302903,STL,IRK,STL,IRK,CNA,29279.0,1,58
99,193,3678,St Louis Lambert International Airport,6825,Williamson County Regional Airport,7705,213767,STL,MWA,STL,MWA,CNA,65169.0,1,58
100,194,3678,St Louis Lambert International Airport,5758,Owensboro Daviess County Airport,12746,345894,STL,OWB,STL,OWB,CNA,113636.0,2,58
101,195,3678,St Louis Lambert International Airport,3665,Waynesville-St. Robert Regional Forney field,8258,227584,STL,TBN,STL,TBN,CNA,46457.0,1,58
102,196,3678,St Louis Lambert International Airport,5774,Quincy Regional Baldwin Field,7507,209519,STL,UIN,STL,UIN,CNA,76845.0,1,58
103,197,3665,Waynesville-St. Robert Regional Forney field,3678,St Louis Lambert International Airport,8025,226417,TBN,STL,TBN,STL,CNA,2828990.0,59,1
104,198,5774,Quincy Regional Baldwin Field,3678,St Louis Lambert International Airport,7395,209315,UIN,STL,UIN,STL,CNA,2828990.0,59,1
108,275,3448,General Edward Lawrence Logan International Airport,3576,Miami International Airport,79500,2417477,BOS,MIA,BOS,MIA,757 738,11094102.0,69,78
110,352,3876,Charlotte Douglas International Airport,4112,Akron Canton Regional Airport,25599,755748,CLT,CAK,CLT,CAK,CRJ CR7,699935.0,14,122
112,352,3876,Charlotte Douglas International Airport,4112,Akron Canton Regional Airport,25599,755748,CLT,CAK,CLT,CAK,CRJ,699935.0,14,122
116,356,3876,Charlotte Douglas International Airport,3486,Cleveland Hopkins International Airport,28453,839682,CLT,CLE,CLT,CLE,ERJ,2091286.0,57,122
118,356,3876,Charlotte Douglas International Airport,3486,Cleveland Hopkins International Airport,28453,839682,CLT,CLE,CLT,CLE,319,2091286.0,57,122
122,357,3876,Charlotte Douglas International Airport,3759,John Glenn Columbus International Airport,24480,698771,CLT,CMH,CLT,CMH,CR9 E75 CR7 CRJ E70,1801848.0,34,122
124,474,3950,Daytona Beach International Airport,3876,Charlotte Douglas International Airport,24761,768769,DAB,CLT,DAB,CLT,CR7,1745524.0,121,3
126,474,3950,Daytona Beach International Airport,3876,Charlotte Douglas International Airport,24761,768769,DAB,CLT,DAB,CLT,CRJ CR7,1745524.0,121,3
130,489,3520,Ronald Reagan Washington National Airport,3711,Burlington International Airport,30890,834130,DCA,BTV,DCA,BTV,CRJ,208055.0,12,92
134,494,3520,Ronald Reagan Washington National Airport,3806,Charleston Air Force Base-International Airport,27353,842790,DCA,CHS,DCA,CHS,E70 CRJ E75,659191.0,26,92
138,585,3670,Dallas Fort Worth International Airport,3806,Charleston Air Force Base-International Airport,57964,1758600,DFW,CHS,DFW,CHS,ER4 ERD,659191.0,26,174
140,701,3670,Dallas Fort Worth International Airport,3708,San Angelo Regional Mathis Field,14288,419192,DFW,SJT,DFW,SJT,ER4 CRJ ERD,110119.0,2,174
142,701,3670,Dallas Fort Worth International Airport,3708,San Angelo Regional Mathis Field,14288,419192,DFW,SJT,DFW,SJT,ER4,110119.0,2,174
146,713,3670,Dallas Fort Worth International Airport,3636,Tucson International Airport,48248,1507947,DFW,TUS,DFW,TUS,M80 M83,1020200.0,16,174
150,754,3494,Newark Liberty International Airport,3576,Miami International Airport,66218,2050883,EWR,MIA,EWR,MIA,739 738 320 73G,11094102.0,69,94
152,754,3494,Newark Liberty International Airport,3576,Miami International Airport,66218,2050883,EWR,MIA,EWR,MIA,757 738,11094102.0,69,94
156,759,3875,Key West International Airport,3576,Miami International Airport,11712,254942,EYW,MIA,EYW,MIA,ERD,11094102.0,69,9
158,768,3533,Fort Lauderdale Hollywood International Airport,3876,Charlotte Douglas International Airport,36569,1153192,FLL,CLT,FLL,CLT,319 321 320 737,1745524.0,121,79
160,768,3533,Fort Lauderdale Hollywood International Airport,3876,Charlotte Douglas International Airport,36569,1153192,FLL,CLT,FLL,CLT,319 321 320 734,1745524.0,121,79
162,772,3533,Fort Lauderdale Hollywood International Airport,3752,Philadelphia International Airport,60367,1875015,FLL,PHL,FLL,PHL,320 319 737,11936504.0,98,79
164,772,3533,Fort Lauderdale Hollywood International Airport,3752,Philadelphia International Airport,60367,1875015,FLL,PHL,FLL,PHL,320 319 734,11936504.0,98,79
166,772,3533,Fort Lauderdale Hollywood International Airport,3752,Philadelphia International Airport,60367,1875015,FLL,PHL,FLL,PHL,73C 73W,11936504.0,98,79
170,825,3550,George Bush Intercontinental Houston Airport,3752,Philadelphia International Airport,81277,2482927,IAH,PHL,IAH,PHL,73G 319 739 738 320,11936504.0,98,141
172,825,3550,George Bush Intercontinental Houston Airport,3752,Philadelphia International Airport,81277,2482927,IAH,PHL,IAH,PHL,E90,11936504.0,98,141
176,889,3877,McCarran International Airport,3520,Ronald Reagan Washington National Airport,126998,3953081,LAS,DCA,LAS,DCA,320 319,10952482.0,93,130
180,1037,3576,Miami International Airport,3825,Bradley International Airport,74295,2274410,MIA,BDL,MIA,BDL,738,1195998.0,28,83
184,1040,3576,Miami International Airport,3448,General Edward Lawrence Logan International Airport,78926,2411859,MIA,BOS,MIA,BOS,757 738,9177360.0,81,83
188,1043,3576,Miami International Airport,3806,Charleston Air Force Base-International Airport,30935,953375,MIA,CHS,MIA,CHS,ER4,659191.0,26,83
192,1044,3576,Miami International Airport,3486,Cleveland Hopkins International Airport,65422,2014965,MIA,CLE,MIA,CLE,ER4,2091286.0,57,83
194,1045,3576,Miami International Airport,3876,Charlotte Douglas International Airport,37659,1187762,MIA,CLT,MIA,CLT,319 321 320 737,1745524.0,121,83
196,1045,3576,Miami International Airport,3876,Charlotte Douglas International Airport,37659,1187762,MIA,CLT,MIA,CLT,319 321 320 734,1745524.0,121,83
200,1046,3576,Miami International Airport,3759,John Glenn Columbus International Airport,61448,1874053,MIA,CMH,MIA,CMH,ER4,1801848.0,34,83
204,1050,3576,Miami International Airport,3520,Ronald Reagan Washington National Airport,53900,1700435,MIA,DCA,MIA,DCA,738,10952482.0,93,83
208,1054,3576,Miami International Airport,3494,Newark Liberty International Airport,65858,2047966,MIA,EWR,MIA,EWR,739 738 320 73G,19069796.0,97,83
210,1054,3576,Miami International Airport,3494,Newark Liberty International Airport,65858,2047966,MIA,EWR,MIA,EWR,738 757,19069796.0,97,83
214,1057,3576,Miami International Airport,4008,Piedmont Triad International Airport,42339,1317650,MIA,GSO,MIA,GSO,ER4,714765.0,15,83
218,1059,3576,Miami International Airport,3714,Washington Dulles International Airport,54778,1714050,MIA,IAD,MIA,IAD,319,10952482.0,89,83
220,1059,3576,Miami International Airport,3714,Washington Dulles International Airport,54778,1714050,MIA,IAD,MIA,IAD,738,10952482.0,89,83
224,1062,3576,Miami International Airport,3712,Jacksonville International Airport,18736,590040,MIA,JAX,MIA,JAX,ER4 ERD,1328144.0,25,83
228,1075,3576,Miami International Airport,3611,Norfolk International Airport,50265,1567763,MIA,ORF,MIA,ORF,ER4,,21,83
230,1076,3576,Miami International Airport,3752,Philadelphia International Airport,61457,1909585,MIA,PHL,MIA,PHL,320 738 321 757,11936504.0,98,83
232,1076,3576,Miami International Airport,3752,Philadelphia International Airport,61457,1909585,MIA,PHL,MIA,PHL,320 738 321 752,11936504.0,98,83
236,1078,3576,Miami International Airport,3570,Pittsburgh International Airport,62332,1906925,MIA,PIT,MIA,PIT,ER4,2354957.0,37,83
240,1081,3576,Miami International Airport,3626,Raleigh Durham International Airport,41585,1318789,MIA,RDU,MIA,RDU,738,1125827.0,41,83
244,1082,3576,Miami International Airport,3608,Richmond International Airport,48176,1530956,MIA,RIC,MIA,RIC,ER4,1238187.0,20,83
250,1095,3576,Miami International Airport,146,Montreal / Pierre Elliott Trudeau International Airport,86682,2652305,MIA,YUL,MIA,YUL,738,,28,83
252,1122,3861,Louis Armstrong New Orleans International Airport,3520,Ronald Reagan Washington National Airport,57281,1763745,MSY,DCA,MSY,DCA,E75 E70 319,10952482.0,93,48
254,1122,3861,Louis Armstrong New Orleans International Airport,3520,Ronald Reagan Washington National Airport,57281,1763745,MSY,DCA,MSY,DCA,319,10952482.0,93,48
256,1126,3861,Louis Armstrong New Orleans International Airport,3752,Philadelphia International Airport,64278,1965783,MSY,PHL,MSY,PHL,319 E90 E75,11936504.0,98,48
258,1126,3861,Louis Armstrong New Orleans International Airport,3752,Philadelphia International Airport,64278,1965783,MSY,PHL,MSY,PHL,319 E90,11936504.0,98,48
260,1261,3722,Palm Beach International Airport,3876,Charlotte Douglas International Airport,33950,1078308,PBI,CLT,PBI,CLT,737 320 319,1745524.0,121,24
262,1261,3722,Palm Beach International Airport,3876,Charlotte Douglas International Airport,33950,1078308,PBI,CLT,PBI,CLT,734 320 319,1745524.0,121,24
266,1262,3722,Palm Beach International Airport,3520,Ronald Reagan Washington National Airport,50190,1590981,PBI,DCA,PBI,DCA,E75 E70,10952482.0,93,24
270,1267,3722,Palm Beach International Airport,3752,Philadelphia International Airport,57748,1800131,PBI,PHL,PBI,PHL,E90 319,11936504.0,98,24
272,1289,3752,Philadelphia International Airport,3864,Albany International Airport,13923,403329,PHL,ALB,PHL,ALB,DH3,857592.0,21,100
274,1289,3752,Philadelphia International Airport,3864,Albany International Airport,13923,403329,PHL,ALB,PHL,ALB,DH8 E75 CRJ,857592.0,21,100
278,1300,3752,Philadelphia International Airport,3711,Burlington International Airport,23787,630496,PHL,BTV,PHL,BTV,E90,208055.0,12,100
280,1306,3752,Philadelphia International Airport,3806,Charleston Air Force Base-International Airport,35101,1053190,PHL,CHS,PHL,CHS,E75 CRJ,659191.0,26,100
282,1306,3752,Philadelphia International Airport,3806,Charleston Air Force Base-International Airport,35101,1053190,PHL,CHS,PHL,CHS,CRJ,659191.0,26,100
284,1368,3752,Philadelphia International Airport,3661,Stewart International Airport,9572,260108,PHL,SWF,PHL,SWF,DH3,,6,100
286,1368,3752,Philadelphia International Airport,3661,Stewart International Airport,9572,260108,PHL,SWF,PHL,SWF,DH8 CRJ,,6,100
290,1374,3752,Philadelphia International Airport,111,Quebec Jean Lesage International Airport,33415,976725,PHL,YQB,PHL,YQB,CRJ,,4,100
294,1375,3752,Philadelphia International Airport,146,Montreal / Pierre Elliott Trudeau International Airport,25947,750116,PHL,YUL,PHL,YUL,CRJ,,28,100
298,1646,3646,Tampa International Airport,3576,Miami International Airport,14536,452698,TPA,MIA,TPA,MIA,738,11094102.0,69,66
299,1680,3690,Nashville International Airport,193,Lester B. Pearson International Airport,40345,1216324,BNA,YYZ,BNA,YYZ,CRJ,,48,48
300,1685,3849,Baltimore/Washington International Thurgood Marshall Airport,193,Lester B. Pearson International Airport,28082,766692,BWI,YYZ,BWI,YYZ,DH1,,48,67
