,og_index,SRC_AIRPT_ID,SRCNAME,DESTIN_AIRPT_ID,DESTINNAME,seconds,meters
143,2476,6713,Anvik Airport,5962,Holy Cross Airport,\N,\N
144,2477,6714,Atqasuk Edward Burnell Sr Memorial Airport,7220,Wainwright Airport,\N,\N
145,2478,6714,Atqasuk Edward Burnell Sr Memorial Airport,3571,Wiley Post Will Rogers Memorial Airport,\N,\N
146,2479,7199,Alakanuk Airport,7087,Emmonak Airport,\N,\N
147,2480,3599,Bethel Airport,3774,Ted Stevens Anchorage International Airport,\N,\N
148,2481,3599,Bethel Airport,6960,Chefornak Airport,\N,\N
149,2482,3599,Bethel Airport,7093,Eek Airport,\N,\N
150,2483,3599,Bethel Airport,6716,Hooper Bay Airport,\N,\N
151,2484,3599,Bethel Airport,7213,Kongiganak Airport,\N,\N
152,2485,3599,Bethel Airport,5964,Kalskag Airport,\N,\N
153,2486,3599,Bethel Airport,7094,Kasigluk Airport,\N,\N
154,2487,3599,Bethel Airport,7096,Kwigillingok Airport,\N,\N
155,2488,3599,Bethel Airport,7206,Quinhagak Airport,\N,\N
156,2489,3599,Bethel Airport,7095,Kwethluk Airport,\N,\N
157,2490,3599,Bethel Airport,7097,Marshall Don Hunter Sr Airport,\N,\N
158,2491,3599,Bethel Airport,8199,Nightmute Airport,\N,\N
159,2492,3599,Bethel Airport,8200,Toksook Bay Airport,\N,\N
160,2493,3599,Bethel Airport,5968,Chevak Airport,\N,\N
161,2494,7178,Buckland Airport,6755,Deering Airport,\N,\N
162,2495,7178,Buckland Airport,3693,Ralph Wien Memorial Airport,\N,\N
163,2496,3571,Wiley Post Will Rogers Memorial Airport,7220,Wainwright Airport,\N,\N
164,2497,3571,Wiley Post Will Rogers Memorial Airport,6714,Atqasuk Edward Burnell Sr Memorial Airport,\N,\N
165,2498,3571,Wiley Post Will Rogers Memorial Airport,7092,Nuiqsut Airport,\N,\N
166,2499,3571,Wiley Post Will Rogers Memorial Airport,3414,Point Lay LRRS Airport,\N,\N
167,2500,3411,Barter Island LRRS Airport,3420,Fort Yukon Airport,\N,\N
168,2501,3411,Barter Island LRRS Airport,3620,Deadhorse Airport,\N,\N
169,2502,3610,Merle K (Mudhole) Smith Airport,3774,Ted Stevens Anchorage International Airport,\N,\N
170,2503,6960,Chefornak Airport,3599,Bethel Airport,\N,\N
171,2504,6960,Chefornak Airport,7201,Kipnuk Airport,\N,\N
172,2505,6755,Deering Airport,7178,Buckland Airport,\N,\N
173,2506,6755,Deering Airport,3693,Ralph Wien Memorial Airport,\N,\N
174,2507,7093,Eek Airport,7206,Quinhagak Airport,\N,\N
175,2508,7184,Elim Airport,7190,Koyuk Alfred Adams Airport,\N,\N
176,2509,7184,Elim Airport,3615,Nome Airport,\N,\N
177,2510,7087,Emmonak Airport,7199,Alakanuk Airport,\N,\N
178,2511,7087,Emmonak Airport,7207,Kotlik Airport,\N,\N
179,2512,3628,Kenai Municipal Airport,3774,Ted Stevens Anchorage International Airport,10439,253090
180,2513,3832,Fairbanks International Airport,3774,Ted Stevens Anchorage International Airport,22750,582465
181,2514,3832,Fairbanks International Airport,3420,Fort Yukon Airport,\N,\N
182,2515,3832,Fairbanks International Airport,3764,Edward G. Pitka Sr Airport,\N,\N
183,2516,3832,Fairbanks International Airport,6722,Ruby Airport,\N,\N
184,2517,3832,Fairbanks International Airport,3620,Deadhorse Airport,38600,804966
185,2518,3420,Fort Yukon Airport,3411,Barter Island LRRS Airport,\N,\N
186,2519,3420,Fort Yukon Airport,3832,Fairbanks International Airport,\N,\N
187,2520,3764,Edward G. Pitka Sr Airport,3832,Fairbanks International Airport,\N,\N
188,2521,3764,Edward G. Pitka Sr Airport,7108,Huslia Airport,\N,\N
189,2522,3764,Edward G. Pitka Sr Airport,6717,Kaltag Airport,\N,\N
190,2523,3764,Edward G. Pitka Sr Airport,7111,Nulato Airport,\N,\N
191,2524,3764,Edward G. Pitka Sr Airport,6722,Ruby Airport,\N,\N
192,2525,6715,Gambell Airport,3615,Nome Airport,\N,\N
193,2526,6715,Gambell Airport,6724,Savoonga Airport,\N,\N
194,2527,7185,Golovin Airport,3615,Nome Airport,\N,\N
195,2528,7185,Golovin Airport,7188,White Mountain Airport,\N,\N
196,2529,5962,Holy Cross Airport,5967,Aniak Airport,\N,\N
197,2530,5962,Holy Cross Airport,6713,Anvik Airport,\N,\N
198,2531,3664,Homer Airport,3774,Ted Stevens Anchorage International Airport,14864,359585
199,2532,6716,Hooper Bay Airport,7209,Scammon Bay Airport,\N,\N
200,2533,6716,Hooper Bay Airport,5968,Chevak Airport,\N,\N
201,2534,7108,Huslia Airport,3764,Edward G. Pitka Sr Airport,\N,\N
202,2535,7108,Huslia Airport,7208,Koyukuk Airport,\N,\N
203,2536,7179,Bob Baker Memorial Airport,7181,Robert (Bob) Curtis Memorial Airport,\N,\N
204,2537,7179,Bob Baker Memorial Airport,3693,Ralph Wien Memorial Airport,\N,\N
205,2538,6717,Kaltag Airport,3764,Edward G. Pitka Sr Airport,\N,\N
206,2539,6717,Kaltag Airport,7111,Nulato Airport,\N,\N
207,2540,7190,Koyuk Alfred Adams Airport,7184,Elim Airport,\N,\N
208,2541,7190,Koyuk Alfred Adams Airport,7192,Shaktoolik Airport,\N,\N
209,2542,7190,Koyuk Alfred Adams Airport,7088,Unalakleet Airport,\N,\N
210,2543,7213,Kongiganak Airport,3599,Bethel Airport,\N,\N
211,2544,7213,Kongiganak Airport,7096,Kwigillingok Airport,3632,20508
212,2545,5964,Kalskag Airport,5967,Aniak Airport,\N,\N
213,2546,5964,Kalskag Airport,3599,Bethel Airport,\N,\N
214,2547,5964,Kalskag Airport,7098,Russian Mission Airport,\N,\N
215,2548,7207,Kotlik Airport,7087,Emmonak Airport,\N,\N
216,2549,7207,Kotlik Airport,6718,St Mary's Airport,\N,\N
217,2550,7201,Kipnuk Airport,3599,Bethel Airport,\N,\N
218,2551,7201,Kipnuk Airport,6960,Chefornak Airport,\N,\N
219,2552,6718,St Mary's Airport,3774,Ted Stevens Anchorage International Airport,\N,\N
220,2553,6718,St Mary's Airport,7207,Kotlik Airport,\N,\N
221,2554,6718,St Mary's Airport,5966,Mountain Village Airport,\N,\N
222,2555,7183,Brevig Mission Airport,7186,Teller Airport,\N,\N
223,2556,7183,Brevig Mission Airport,7187,Wales Airport,\N,\N
224,2557,6719,Kivalina Airport,3693,Ralph Wien Memorial Airport,\N,\N
225,2558,7096,Kwigillingok Airport,3599,Bethel Airport,\N,\N
226,2559,7096,Kwigillingok Airport,7213,Kongiganak Airport,3634,20508
227,2560,7096,Kwigillingok Airport,7201,Kipnuk Airport,\N,\N
228,2561,7206,Quinhagak Airport,3599,Bethel Airport,\N,\N
229,2562,7206,Quinhagak Airport,6767,Togiak Airport,\N,\N
