,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
20,903095,2309226,1203912,1153699,1924680,1083472,1235709,589404,2341591,3473487,191527,2721212,303906,2513158,2466406,2457709,1292085,277608,812376,952773,732039,426887,1981756,674588,3915226,654636,1908481,751493,530050,3294921,792197,964927,899407,1541047,1069485,1082623,2121705,3184938,430936,773614,1292583,648810,443938,1652438,1351306,255511,429540,1924275,816751,4115541,823753,\N,1319258,1312018,638690,788610,894097,478258,2097765,576886,1531798,1320591,391823,2644080,762324,3076599,1202582,318167,763285,586164,642862,1166190,616324,987503,567575,784891,538958,1148309,1660982,2018993,\N,2133804,1870132,1008339,1378664,4834419,3830348,4275367,2176136,4494151,200658,\N,3930741,4279821,\N,3339922,1759008,4349613,581156,2361153
21,2001513,894621,2600067,1977505,454911,1922044,2772320,1570387,408167,920840,1682492,1129990,774319,903347,741484,208645,327521,765264,979495,1370498,1224297,1737592,520032,1099711,4911847,1794009,4549242,2113738,3348741,4593527,4633743,1231212,1820857,1852393,\N,2936200,4968620,5317700,1290130,1873063,3306092,\N,4559280,2291185,2006149,1302241,1331877,1183152,1882292,3340412,244905,4348779,2739358,\N,\N,4729880,610194,\N,4877935,3442278,1056378,4655417,1206087,781363,3081873,1298883,665181,831064,322711,2687068,3089434,\N,\N,557905,\N,\N,3470766,1084867,1153798,1327371,418825,3287984,1972568,1142039,2252292,3465431,1078952,4370462,2761041,642229,\N,1238122,1178443,2279734,3251101,1628133,588965,1870638,199456,1016837
22,1529510,1170809,1332749,1020052,2970326,1574615,1977364,493437,1450029,2350022,964591,3339486,707969,893261,749683,262475,505042,1185802,617207,1114801,429738,731189,1409928,1368428,792441,389236,946668,1459341,1817352,1846551,\N,452698,1932163,1668491,3478299,252410,429330,2324223,1104099,1507856,819429,2800593,190882,530907,316738,182536,392192,805994,1389779,1185153,922050,1008032,890999,1532640,1161569,1542668,533410,2499732,2104191,1022709,300795,\N,\N,\N,\N,\N,\N,\N,\N,\N,2255539,1528728,530740,777980,1216324,1027932,692184,513197,883892,766692,483257,1220225,683694,793680,907140,953750,770251,2257345,2040300,2021485,2383706,1351757,2923233,2335107,1757606,1569562,1766679,2393516,2216683,386771
23,2098273,3899478,607535,4796126,3836223,779265,2617735,2360937,\N,1740489,890067,986700,756188,550723,3652177,2966737,3397370,2419067,833198,818183,4152227,2039708,2083241,3622510,2198812,4598473,2058709,2529487,4068756,714484,598443,801498,1594635,2336963,2080165,637799,4546548,2395507,969494,1485365,2034774,2097975,1737771,550185,1490997,2080967,\N,1490363,2614224,2623694,1299939,1663381,1830016,1387474,3510872,1372594,\N,2550968,857756,500141,1255634,769245,3536580,524471,1185076,260358,2356054,4139335,244905,4155029,2376940,4771408,1539494,2122133,1474006,4241691,1216823,387656,2154413,1293314,2250442,288482,933717,248853,1642560,1296163,2252204,290243,917120,249634,1644932,1489374,1512360,326753,1340568,1612853,239622,1089439,413170,1750302
24,476297,\N,834219,1872099,1460117,1094184,339258,1140860,\N,200621,845935,473881,1357300,1141684,397237,938652,2245964,824263,150759,4077708,752597,4081552,691478,1281780,860393,1038878,2255539,1299094,314658,1454117,1153469,\N,\N,444840,2281101,665372,816840,1386409,1308396,602068,\N,1028557,1239420,\N,1088130,1059003,2808396,524024,625391,1511880,\N,1295446,561341,265246,449980,1459705,389179,1055299,1275360,1556091,681428,887206,612428,565604,1426088,3164868,3536469,642936,922628,1433090,\N,841195,\N,\N,1334395,707734,1179857,1175973,611503,2752211,256320,1795124,1056813,1312561,\N,1271971,807717,525621,1416697,1756692,755664,2003399,\N,588246,\N,706211,1384265,1603825,1202795,937352
25,952083,4190346,965233,1248028,2916164,1134717,1121951,502879,5805627,1684047,1901981,648818,869743,709444,1555948,935064,3457426,1583596,384017,1114010,686978,4265691,3975854,1096419,978772,5020827,\N,3041656,3997289,3511984,804124,926754,\N,1574621,426060,731741,517029,1268284,2790480,361356,361467,495407,1171604,1952538,1528728,1484435,1508386,324173,1615614,241115,1081671,410693,1755843,\N,\N,476021,841274,1458781,1095040,338045,1140399,197288,843907,473285,1350789,1136919,396184,937489,819495,149061,748755,\N,691546,1278547,857035,1040496,2257345,1300992,314469,1464527,1155886,\N,\N,\N,1712058,448094,2280694,661333,814761,1389249,\N,1308107,600090,1029080,1235795,1086722,1057188,523298,624299,1506903
26,\N,1291918,557059,262646,449193,\N,1464281,322900,1064036,\N,1272092,\N,1556129,678968,883049,615133,559332,1425765,\N,\N,\N,\N,\N,\N,\N,2143359,\N,\N,3165109,3540877,\N,3125429,\N,\N,635019,918630,1433331,840395,1332689,710031,1178371,1172166,611464,255314,1058467,\N,\N,1309655,\N,1266371,808015,524454,1408712,1830430,\N,3120898,\N,1894346,2695939,3187930,755117,1705708,2143844,1894674,589414,705014,1380910,1602213,1197917,\N,938901,953842,4189181,966230,1250896,\N,2907568,1130741,1120308,\N,501479,1685475,648403,871150,706436,1554838,935705,3457980,1579578,383885,1112296,683533,4263641,\N,\N,\N,3976411,\N,\N,1095579
27,977917,3040479,\N,3998095,3522635,804233,923305,1574071,424314,734064,514863,1268213,2789700,359747,360250,493072,1170300,\N,\N,\N,\N,\N,\N,\N,288482,1642560,290243,1644932,1612853,413170,1750302,1094184,\N,1141684,938652,4077708,752597,4081552,1038878,2255539,1153469,1386409,\N,2808396,1055299,887206,565604,1426088,1433090,\N,1334395,707734,611503,2752211,1056813,1756692,755664,2003399,1248028,1121951,3094170,648818,869743,4265691,3661354,3041656,926754,1171604,1952538,1615614,1755843,5794582,1095040,1136919,937489,748755,4496278,1040496,2257345,1837543,1155886,4896370,3570874,2811179,1389249,2898714,1064036,3736452,1518059,883049,4429856,559332,1425765,5464819,4139322,2830963,2335611,4749782,2565621,\N
28,2974392,2098180,2505771,1919007,3083589,2842363,1433331,1332689,710031,4382118,3056621,611464,1058467,3405058,\N,1309655,1830430,4658141,755117,2478143,3205105,3302583,1250896,\N,1120308,648403,4727790,871150,2361153,1387361,487877,4263641,3976411,3205359,3141723,3550493,3406341,3081873,2502815,3089434,2450525,3040479,4782052,2955693,2724447,3173758,923305,734064,1170300,\N,\N,1300206,\N,659450,\N,449462,\N,658304,\N,\N,\N,\N,1468946,\N,\N,252041,582106,\N,358691,1361253,\N,5450260,5485348,\N,\N,5735145,\N,3927915,1379464,1276552,3672475,\N,5253435,\N,485931,\N,\N,239622,413170,473881,397237,561341,389179,612428,565604,3536469,611503,1056813,755664,937352
29,952083,4190346,502879,648818,935064,3457426,384017,4265691,3041656,361356,2250152,3465735,4701862,\N,241115,1428625,1325708,\N,1949096,426624,171183,410693,3264098,472639,684063,1531626,817832,1075458,899413,397999,4830949,409871,4965399,632956,4825382,4912646,\N,\N,\N,1546394,1788899,1085138,1469840,\N,\N,473285,396184,3644416,2236323,4324760,4506996,4454243,1696465,2131175,2322273,3231568,2174892,3365337,2738777,2292600,\N,3804935,3745641,256139,1327284,253090,193681,436186,4592195,582465,804966,3485086,367185,1228997,552477,1471502,851647,5290075,558791,455874,557059,137624,1040086,137889,957798,\N,\N,\N,\N,\N,\N,\N,\N,359585,322900,2538287,3761866,3337504,396614,615133
