,SRC_AIRPT_ID,SRCNAME,DESTIN_AIRPT_ID,DESTINNAME,seconds,meters,SRCIATA,DESTINIATA
7333,3458,Kansas City International Airport,3550,George Bush Intercontinental Houston Airport,40575,1178713,MCI,IAH
7335,3458,Kansas City International Airport,3469,San Francisco International Airport,93814,2895616,MCI,SFO
7336,3878,Orlando International Airport,3486,Cleveland Hopkins International Airport,55704,1701461,MCO,CLE
7338,3878,Orlando International Airport,3494,Newark Liberty International Airport,56096,1734435,MCO,EWR
7339,3878,Orlando International Airport,3533,Fort Lauderdale Hollywood International Airport,10978,341097,MCO,FLL
7340,3878,Orlando International Airport,3472,Gainesville Regional Airport,7195,202919,MCO,GNV
7341,3878,Orlando International Airport,3714,Washington Dulles International Airport,45016,1400519,MCO,IAD
7342,3878,Orlando International Airport,3550,George Bush Intercontinental Houston Airport,50456,1579771,MCO,IAH
7345,3878,Orlando International Airport,3564,Pensacola Regional Airport,23244,731988,MCO,PNS
7346,3878,Orlando International Airport,1871,Tocumen International Airport,274210,6110037,MCO,PTY
7347,3878,Orlando International Airport,3793,Southwest Florida International Airport,11096,340243,MCO,RSW
7349,3878,Orlando International Airport,3698,Tallahassee Regional Airport,14528,446146,MCO,TLH
7350,3542,Harrisburg International Airport,3714,Washington Dulles International Airport,7661,194328,MDT,IAD
7352,3473,Memphis International Airport,3751,Denver International Airport,55514,1761004,MEM,DEN
7353,3473,Memphis International Airport,3494,Newark Liberty International Airport,57772,1748169,MEM,EWR
7354,3473,Memphis International Airport,3550,George Bush Intercontinental Houston Airport,31398,904494,MEM,IAH
7356,3826,Mc Allen Miller International Airport,3550,George Bush Intercontinental Houston Airport,19852,589375,MFE,IAH
7357,4101,Rogue Valley International Medford Airport,3751,Denver International Airport,68634,2020422,MFR,DEN
7358,4101,Rogue Valley International Medford Airport,3469,San Francisco International Airport,21034,604050,MFR,SFO
7359,4284,Morgantown Municipal Walter L. Bill Hart Field,5730,North Central West Virginia Airport,2354,58263,MGW,CKB
7360,4284,Morgantown Municipal Walter L. Bill Hart Field,3714,Washington Dulles International Airport,11480,316930,MGW,IAD
7361,4011,Manchester-Boston Regional Airport,3494,Newark Liberty International Airport,15018,413491,MHT,EWR
7362,4011,Manchester-Boston Regional Airport,3830,Chicago O'Hare International Airport,55230,1653489,MHT,ORD
7372,3717,General Mitchell International Airport,3486,Cleveland Hopkins International Airport,22950,672505,MKE,CLE
7374,3717,General Mitchell International Airport,3494,Newark Liberty International Airport,47193,1401386,MKE,EWR
7375,3717,General Mitchell International Airport,3550,George Bush Intercontinental Houston Airport,61429,1812203,MKE,IAH
7377,5754,Muskegon County Airport,3830,Chicago O'Hare International Airport,11572,314004,MKG,ORD
7378,4072,Quad City International Airport,3751,Denver International Airport,42701,1345028,MLI,DEN
7380,3732,Monroe Regional Airport,3550,George Bush Intercontinental Houston Airport,18854,521942,MLU,IAH
7381,3782,Mobile Regional Airport,3550,George Bush Intercontinental Houston Airport,25177,756870,MOB,IAH
7382,3782,Mobile Regional Airport,3830,Chicago O'Hare International Airport,49437,1521995,MOB,ORD
7383,3816,Modesto City Co-Harry Sham Field,3469,San Francisco International Airport,5385,149543,MOD,SFO
7384,3498,Minot International Airport,3751,Denver International Airport,42460,1240627,MOT,DEN
7385,3948,Monterey Peninsula Airport,3751,Denver International Airport,67186,2038325,MRY,DEN
7387,3948,Monterey Peninsula Airport,3469,San Francisco International Airport,5944,169943,MRY,SFO
7388,3459,Dane County Regional Truax Field,3751,Denver International Airport,50150,1537576,MSN,DEN
7389,3459,Dane County Regional Truax Field,3494,Newark Liberty International Airport,50375,1502145,MSN,EWR
7391,4216,Missoula International Airport,3751,Denver International Airport,45269,1453654,MSO,DEN
7392,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,3486,Cleveland Hopkins International Airport,39532,1194982,MSP,CLE
7394,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,3494,Newark Liberty International Airport,63775,1923863,MSP,EWR
7395,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,3714,Washington Dulles International Airport,59168,1769500,MSP,IAD
7396,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,3550,George Bush Intercontinental Houston Airport,61693,1872036,MSP,IAH
7397,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,3484,Los Angeles International Airport,100187,3120898,MSP,LAX
7399,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,3469,San Francisco International Airport,103619,3187930,MSP,SFO
7401,3861,Louis Armstrong New Orleans International Airport,3486,Cleveland Hopkins International Airport,54726,1696245,MSY,CLE
7404,3861,Louis Armstrong New Orleans International Airport,3714,Washington Dulles International Airport,56571,1740092,MSY,IAD
7405,3861,Louis Armstrong New Orleans International Airport,3550,George Bush Intercontinental Houston Airport,18129,550185,MSY,IAH
7408,3861,Louis Armstrong New Orleans International Airport,3469,San Francisco International Airport,116608,3560107,MSY,SFO
7409,3861,Louis Armstrong New Orleans International Airport,193,Lester B. Pearson International Airport,68014,2083289,MSY,YYZ
7410,6880,Montrose Regional Airport,3751,Denver International Airport,17800,504028,MTJ,DEN
7411,3515,Myrtle Beach International Airport,3494,Newark Liberty International Airport,36078,1049940,MYR,EWR
7412,3515,Myrtle Beach International Airport,3830,Chicago O'Hare International Airport,53434,1513487,MYR,ORD
7414,3863,Will Rogers World Airport,3494,Newark Liberty International Airport,77282,2328576,OKC,EWR
7415,3863,Will Rogers World Airport,3714,Washington Dulles International Airport,69175,2142908,OKC,IAD
7416,3863,Will Rogers World Airport,3550,George Bush Intercontinental Houston Airport,22590,700480,OKC,IAH
7419,3863,Will Rogers World Airport,3469,San Francisco International Airport,84844,2602226,OKC,SFO
7421,3454,Eppley Airfield,3494,Newark Liberty International Airport,66397,1998108,OMA,EWR
7422,3454,Eppley Airfield,3550,George Bush Intercontinental Houston Airport,46858,1432481,OMA,IAH
7425,3734,Ontario International Airport,3550,George Bush Intercontinental Houston Airport,78348,2447845,ONT,IAH
7426,3734,Ontario International Airport,3469,San Francisco International Airport,22645,660592,ONT,SFO
7427,3830,Chicago O'Hare International Airport,4355,Lehigh Valley International Airport,40679,1204817,ORD,ABE
7429,3830,Chicago O'Hare International Airport,3524,Atlantic City International Airport,45211,1333101,ORD,ACY
7430,3830,Chicago O'Hare International Airport,3864,Albany International Airport,44705,1336107,ORD,ALB
7431,3830,Chicago O'Hare International Airport,3774,Ted Stevens Anchorage International Airport,214497,5737882,ORD,ANC
7433,3830,Chicago O'Hare International Airport,4047,Appleton International Airport,9777,292523,ORD,ATW
7435,3830,Chicago O'Hare International Airport,4007,Asheville Regional Airport,37922,1094095,ORD,AVL
7436,3830,Chicago O'Hare International Airport,4286,Wilkes Barre Scranton International Airport,38481,1144110,ORD,AVP
7438,3830,Chicago O'Hare International Airport,3811,Birmingham-Shuttlesworth International Airport,36043,1105320,ORD,BHM
7440,3830,Chicago O'Hare International Airport,3495,Boise Air Terminal/Gowen Field,86602,2712787,ORD,BOI
7442,3830,Chicago O'Hare International Airport,3711,Burlington International Airport,53383,1475336,ORD,BTV
7445,3830,Chicago O'Hare International Airport,4020,Gallatin Field,70656,2226540,ORD,BZN
7446,3830,Chicago O'Hare International Airport,3561,Columbia Metropolitan Airport,45673,1329160,ORD,CAE
7447,3830,Chicago O'Hare International Airport,4112,Akron Canton Regional Airport,21778,635273,ORD,CAK
7448,3830,Chicago O'Hare International Airport,3806,Charleston Air Force Base-International Airport,50752,1488795,ORD,CHS
7453,3830,Chicago O'Hare International Airport,5732,Houghton County Memorial Airport,23621,659357,ORD,CMX
7454,3830,Chicago O'Hare International Airport,3819,City of Colorado Springs Municipal Airport,54886,1719797,ORD,COS
7455,3830,Chicago O'Hare International Airport,4285,Yeager Airport,28221,829348,ORD,CRW
7463,3830,Chicago O'Hare International Airport,3598,Duluth International Airport,24607,740950,ORD,DLH
7466,3830,Chicago O'Hare International Airport,5735,Chippewa Valley Regional Airport,16172,494943,ORD,EAU
7467,3830,Chicago O'Hare International Airport,3946,Elmira Corning Regional Airport,35800,1057180,ORD,ELM
7471,3830,Chicago O'Hare International Airport,3843,Topeka Regional Airport - Forbes Field,30702,929988,ORD,FOE
7476,3830,Chicago O'Hare International Airport,4008,Piedmont Triad International Airport,41129,1201545,ORD,GSO
7477,3830,Chicago O'Hare International Airport,4034,Greenville Spartanburg International Airport,41303,1194731,ORD,GSP
7480,3830,Chicago O'Hare International Airport,3714,Washington Dulles International Airport,39062,1137464,ORD,IAD
7484,3830,Chicago O'Hare International Airport,3580,Jackson-Medgar Wiley Evers International Airport,40106,1219747,ORD,JAN
7486,3830,Chicago O'Hare International Airport,3544,Capital City Airport,19736,589237,ORD,LAN
7492,3830,Chicago O'Hare International Airport,3543,Lincoln Airport,26972,829673,ORD,LNK
7493,3830,Chicago O'Hare International Airport,4128,MBS International Airport,18125,512696,ORD,MBS
7499,3830,Chicago O'Hare International Airport,4011,Manchester-Boston Regional Airport,55410,1654969,ORD,MHT
7502,3830,Chicago O'Hare International Airport,5754,Muskegon County Airport,11706,328530,ORD,MKG
7504,3830,Chicago O'Hare International Airport,3782,Mobile Regional Airport,49440,1521493,ORD,MOB
7508,3830,Chicago O'Hare International Airport,1825,General Mariano Escobedo International Airport,82239,2403099,ORD,MTY
7509,3830,Chicago O'Hare International Airport,3515,Myrtle Beach International Airport,53132,1512410,ORD,MYR
7512,3830,Chicago O'Hare International Airport,3611,Norfolk International Airport,49093,1447177,ORD,ORF
7513,3830,Chicago O'Hare International Airport,4117,Barkley Regional Airport,20652,624148,ORD,PAH
7519,3830,Chicago O'Hare International Airport,3564,Pensacola Regional Airport,49412,1498751,ORD,PNS
7520,3830,Chicago O'Hare International Airport,1871,Tocumen International Airport,283019,6307979,ORD,PTY
7521,3830,Chicago O'Hare International Airport,3641,Theodore Francis Green State Airport,53375,1573515,ORD,PVD
7523,3830,Chicago O'Hare International Airport,3862,Portland International Jetport Airport,58793,1761826,ORD,PWM
7524,3830,Chicago O'Hare International Airport,4087,Rapid City Regional Airport,45756,1445281,ORD,RAP
7527,3830,Chicago O'Hare International Airport,4016,Roanoke–Blacksburg Regional Airport,38479,1109311,ORD,ROA
7532,3830,Chicago O'Hare International Airport,3613,Savannah Hilton Head International Airport,51809,1579180,ORD,SAV
7533,3830,Chicago O'Hare International Airport,4359,South Bend Regional Airport,6677,182615,ORD,SBN
7534,3830,Chicago O'Hare International Airport,4318,University Park Airport,32642,940765,ORD,SCE
7540,3830,Chicago O'Hare International Airport,1885,Juan Santamaria International Airport,242193,5523179,ORD,SJO
7542,3830,Chicago O'Hare International Airport,3817,Sacramento International Airport,106071,3285884,ORD,SMF
7544,3830,Chicago O'Hare International Airport,4336,Abraham Lincoln Capital Airport,10815,319131,ORD,SPI
7545,3830,Chicago O'Hare International Airport,4067,Sarasota Bradenton International Airport,65137,1999288,ORD,SRQ
7546,3830,Chicago O'Hare International Airport,4271,St Cloud Regional Airport,24033,732452,ORD,STC
7554,3830,Chicago O'Hare International Airport,49,Edmonton International Airport,89519,2614224,ORD,YEG
7555,3830,Chicago O'Hare International Airport,73,Halifax / Stanfield International Airport,87211,2623694,ORD,YHZ
7556,3830,Chicago O'Hare International Airport,100,Ottawa Macdonald-Cartier International Airport,43225,1299939,ORD,YOW
7557,3830,Chicago O'Hare International Airport,111,Quebec Jean Lesage International Airport,55316,1663381,ORD,YQB
7558,3830,Chicago O'Hare International Airport,120,Regina International Airport,61742,1830016,ORD,YQR
7561,3830,Chicago O'Hare International Airport,160,Winnipeg / James Armstrong Richardson International Airport,45418,1372594,ORD,YWG
7562,3830,Chicago O'Hare International Airport,166,Saskatoon John G. Diefenbaker International Airport,70963,2090699,ORD,YXE
7565,3611,Norfolk International Airport,3494,Newark Liberty International Airport,21173,555891,ORF,EWR
7566,3611,Norfolk International Airport,3714,Washington Dulles International Airport,11374,323436,ORF,IAD
7567,3611,Norfolk International Airport,3550,George Bush Intercontinental Houston Airport,73367,2215941,ORF,IAH
7568,3611,Norfolk International Airport,3830,Chicago O'Hare International Airport,48925,1447739,ORF,ORD
7569,5757,Southwest Oregon Regional Airport,3469,San Francisco International Airport,31670,870718,OTH,SFO
7570,4117,Barkley Regional Airport,3830,Chicago O'Hare International Airport,20674,624836,PAH,ORD
7571,3722,Palm Beach International Airport,3486,Cleveland Hopkins International Airport,61837,1907349,PBI,CLE
7572,3722,Palm Beach International Airport,3494,Newark Liberty International Airport,62229,1940324,PBI,EWR
7573,3722,Palm Beach International Airport,3550,George Bush Intercontinental Houston Airport,57948,1823582,PBI,IAH
7574,3722,Palm Beach International Airport,3646,Tampa International Airport,12352,342261,PBI,TPA
7576,3720,Portland International Airport,4099,Mahlon Sweet Field,7509,203863,PDX,EUG
7577,3720,Portland International Airport,3494,Newark Liberty International Airport,151321,4648380,PDX,EWR
7578,3720,Portland International Airport,3714,Washington Dulles International Airport,146714,4494016,PDX,IAD
7579,3720,Portland International Airport,3550,George Bush Intercontinental Houston Airport,118855,3627931,PDX,IAH
7580,3720,Portland International Airport,3484,Los Angeles International Airport,54050,1573880,PDX,LAX
7581,3720,Portland International Airport,5750,Crater Lake-Klamath Regional Airport,17893,477500,PDX,LMT
7583,3720,Portland International Airport,4103,Roberts Field,10333,232195,PDX,RDM
7584,3720,Portland International Airport,3577,Seattle Tacoma International Airport,9209,259530,PDX,SEA
7586,3720,Portland International Airport,156,Vancouver International Airport,17841,500141,PDX,YVR
7587,3720,Portland International Airport,178,Calgary International Airport,46431,1255634,PDX,YYC
7590,3752,Philadelphia International Airport,3714,Washington Dulles International Airport,8623,241208,PHL,IAD
7595,3462,Phoenix Sky Harbor International Airport,3486,Cleveland Hopkins International Airport,104641,3218435,PHX,CLE
7598,3462,Phoenix Sky Harbor International Airport,3714,Washington Dulles International Airport,118938,3669566,PHX,IAD
7604,4046,General Wayne A. Downing Peoria International Airport,3751,Denver International Airport,47477,1489051,PIA,DEN
7609,3570,Pittsburgh International Airport,3494,Newark Liberty International Airport,21262,609708,PIT,EWR
7610,3570,Pittsburgh International Airport,3714,Washington Dulles International Airport,14923,409934,PIT,IAD
7611,3570,Pittsburgh International Airport,3550,George Bush Intercontinental Houston Airport,71282,2110900,PIT,IAH
7614,3570,Pittsburgh International Airport,3469,San Francisco International Airport,134623,4142039,PIT,SFO
7615,3570,Pittsburgh International Airport,193,Lester B. Pearson International Airport,17599,524471,PIT,YYZ
7616,4114,Mid Ohio Valley Regional Airport,3486,Cleveland Hopkins International Airport,9283,277837,PKB,CLE
7617,3564,Pensacola Regional Airport,3550,George Bush Intercontinental Houston Airport,28146,855937,PNS,IAH
7618,3564,Pensacola Regional Airport,3878,Orlando International Airport,23263,733544,PNS,MCO
7619,3564,Pensacola Regional Airport,3830,Chicago O'Hare International Airport,49260,1499020,PNS,ORD
7620,3564,Pensacola Regional Airport,3646,Tampa International Airport,23938,757551,PNS,TPA
7621,6133,Tri Cities Airport,3751,Denver International Airport,73331,2287069,PSC,DEN
7622,6133,Tri Cities Airport,3469,San Francisco International Airport,134070,4137566,PSC,SFO
7623,3839,Palm Springs International Airport,3751,Denver International Airport,54160,1614138,PSP,DEN
7624,3839,Palm Springs International Airport,3550,George Bush Intercontinental Houston Airport,75041,2336273,PSP,IAH
7625,3839,Palm Springs International Airport,3877,McCarran International Airport,14163,372829,PSP,LAS
7626,3839,Palm Springs International Airport,3484,Los Angeles International Airport,7577,202715,PSP,LAX
7627,3839,Palm Springs International Airport,3469,San Francisco International Airport,26634,773614,PSP,SFO
7628,3527,Pueblo Memorial Airport,3751,Denver International Airport,6739,207586,PUB,DEN
7629,3641,Theodore Francis Green State Airport,3494,Newark Liberty International Airport,11446,300671,PVD,EWR
7630,3641,Theodore Francis Green State Airport,3714,Washington Dulles International Airport,24030,675787,PVD,IAD
7631,3641,Theodore Francis Green State Airport,3830,Chicago O'Hare International Airport,53231,1571863,PVD,ORD
7632,4087,Rapid City Regional Airport,3751,Denver International Airport,21536,636456,RAP,DEN
7633,4087,Rapid City Regional Airport,3830,Chicago O'Hare International Airport,45187,1441714,RAP,ORD
7634,4098,Redding Municipal Airport,3469,San Francisco International Airport,12094,354305,RDD,SFO
7635,4103,Roberts Field,3751,Denver International Airport,61586,1842587,RDM,DEN
7636,4103,Roberts Field,3720,Portland International Airport,10196,231418,RDM,PDX
7637,4103,Roberts Field,3469,San Francisco International Airport,29876,832690,RDM,SFO
7638,3626,Raleigh Durham International Airport,3494,Newark Liberty International Airport,26145,777072,RDU,EWR
7639,3626,Raleigh Durham International Airport,3714,Washington Dulles International Airport,15065,443156,RDU,IAD
7640,3626,Raleigh Durham International Airport,3550,George Bush Intercontinental Houston Airport,62558,1925442,RDU,IAH
7642,3626,Raleigh Durham International Airport,3469,San Francisco International Airport,147832,4554926,RDU,SFO
7643,3608,Richmond International Airport,3486,Cleveland Hopkins International Airport,26562,772889,RIC,CLE
7644,3608,Richmond International Airport,3494,Newark Liberty International Airport,18465,530205,RIC,EWR
7645,3608,Richmond International Airport,3714,Washington Dulles International Airport,7385,196288,RIC,IAD
7646,3608,Richmond International Airport,3550,George Bush Intercontinental Houston Airport,69921,2148190,RIC,IAH
7648,5766,Southwest Wyoming Regional Airport,3751,Denver International Airport,17912,542276,RKS,DEN
7651,3807,Reno Tahoe International Airport,3469,San Francisco International Airport,13548,375388,RNO,SFO
7652,4016,Roanoke–Blacksburg Regional Airport,3714,Washington Dulles International Airport,11797,358152,ROA,IAD
7653,4016,Roanoke–Blacksburg Regional Airport,3830,Chicago O'Hare International Airport,38416,1107922,ROA,ORD
7654,3622,Greater Rochester International Airport,3486,Cleveland Hopkins International Airport,14592,428355,ROC,CLE
7655,3622,Greater Rochester International Airport,3494,Newark Liberty International Airport,18680,540883,ROC,EWR
7656,3622,Greater Rochester International Airport,3714,Washington Dulles International Airport,22181,604082,ROC,IAD
7658,3793,Southwest Florida International Airport,3486,Cleveland Hopkins International Airport,65176,1975539,RSW,CLE
7659,3793,Southwest Florida International Airport,3751,Denver International Airport,101665,3186548,RSW,DEN
7660,3793,Southwest Florida International Airport,3494,Newark Liberty International Airport,65569,2008513,RSW,EWR
7661,3793,Southwest Florida International Airport,3875,Key West International Airport,18226,470229,RSW,EYW
7662,3793,Southwest Florida International Airport,3550,George Bush Intercontinental Houston Airport,57356,1805445,RSW,IAH
7663,3793,Southwest Florida International Airport,3878,Orlando International Airport,10830,277316,RSW,MCO
7665,3784,Santa Fe Municipal Airport,3751,Denver International Airport,20724,663041,SAF,DEN
7667,3731,San Diego International Airport,3494,Newark Liberty International Airport,145875,4429270,SAN,EWR
7668,3731,San Diego International Airport,3714,Washington Dulles International Airport,138023,4249393,SAN,IAD
7669,3731,San Diego International Airport,3550,George Bush Intercontinental Houston Airport,76237,2390705,SAN,IAH
7674,3621,San Antonio International Airport,3494,Newark Liberty International Airport,95165,2904512,SAT,EWR
7675,3621,San Antonio International Airport,3714,Washington Dulles International Airport,82891,2544308,SAT,IAD
7676,3621,San Antonio International Airport,3550,George Bush Intercontinental Houston Airport,11392,342310,SAT,IAH
7679,3621,San Antonio International Airport,3469,San Francisco International Airport,89368,2769833,SAT,SFO
7680,3613,Savannah Hilton Head International Airport,3494,Newark Liberty International Airport,41596,1268372,SAV,EWR
7681,3613,Savannah Hilton Head International Airport,3714,Washington Dulles International Airport,30516,934456,SAV,IAD
7682,3613,Savannah Hilton Head International Airport,3550,George Bush Intercontinental Houston Airport,52174,1629062,SAV,IAH
7683,3613,Savannah Hilton Head International Airport,3830,Chicago O'Hare International Airport,52005,1581984,SAV,ORD
7684,3949,Santa Barbara Municipal Airport,3751,Denver International Airport,59667,1824219,SBA,DEN
7685,3949,Santa Barbara Municipal Airport,3484,Los Angeles International Airport,6405,169747,SBA,LAX
7686,3949,Santa Barbara Municipal Airport,3469,San Francisco International Airport,16975,509677,SBA,SFO
7687,4359,South Bend Regional Airport,3830,Chicago O'Hare International Airport,6613,173881,SBN,ORD
7688,5768,San Luis County Regional Airport,3484,Los Angeles International Airport,11282,298775,SBP,LAX
7689,5768,San Luis County Regional Airport,3469,San Francisco International Airport,12147,360202,SBP,SFO
7690,4318,University Park Airport,3714,Washington Dulles International Airport,12232,335191,SCE,IAD
7691,4318,University Park Airport,3830,Chicago O'Hare International Airport,32251,938271,SCE,ORD
7692,4014,Louisville International Standiford Field,3486,Cleveland Hopkins International Airport,18270,554399,SDF,CLE
7694,4014,Louisville International Standiford Field,3494,Newark Liberty International Airport,40180,1179369,SDF,EWR
7695,4014,Louisville International Standiford Field,3714,Washington Dulles International Airport,31988,915988,SDF,IAD
7696,4014,Louisville International Standiford Field,3550,George Bush Intercontinental Houston Airport,50403,1499642,SDF,IAH
7698,3577,Seattle Tacoma International Airport,3774,Ted Stevens Anchorage International Airport,149688,3668035,SEA,ANC
7700,3577,Seattle Tacoma International Airport,3494,Newark Liberty International Airport,149623,4593527,SEA,EWR
7701,3577,Seattle Tacoma International Airport,3714,Washington Dulles International Airport,145016,4439164,SEA,IAD
7702,3577,Seattle Tacoma International Airport,3550,George Bush Intercontinental Houston Airport,123292,3745019,SEA,IAH
7705,3577,Seattle Tacoma International Airport,3720,Portland International Airport,9077,263424,SEA,PDX
7707,3577,Seattle Tacoma International Airport,156,Vancouver International Airport,9096,244905,SEA,YVR
7708,3469,San Francisco International Airport,4019,Albuquerque International Sunport,57696,1741490,SFO,ABQ
7709,3469,San Francisco International Airport,4384,California Redwood Coast-Humboldt County Airport,18646,495460,SFO,ACV
7712,3469,San Francisco International Airport,3558,Meadows Field,15529,437164,SFO,BFL
7713,3469,San Francisco International Airport,3495,Boise Air Terminal/Gowen Field,36212,1047130,SFO,BOI
7715,3469,San Francisco International Airport,3644,Bob Hope Airport,19980,583346,SFO,BUR
7716,3469,San Francisco International Airport,3849,Baltimore/Washington International Thurgood Marshall Airport,147849,4554667,SFO,BWI
7717,3469,San Francisco International Airport,5727,Jack Mc Namara Field Airport,23404,610018,SFO,CEC
7718,3469,San Francisco International Airport,3710,Chico Municipal Airport,11193,306735,SFO,CIC
7719,3469,San Francisco International Airport,3486,Cleveland Hopkins International Airport,128149,3960783,SFO,CLE
7720,3469,San Francisco International Airport,3819,City of Colorado Springs Municipal Airport,70224,2145510,SFO,COS
7725,3469,San Francisco International Airport,4099,Mahlon Sweet Field,30708,885336,SFO,EUG
7727,3469,San Francisco International Airport,3687,Fresno Yosemite International Airport,11015,311134,SFO,FAT
7729,3469,San Francisco International Airport,1804,Don Miguel Hidalgo Y Costilla International Airport,116761,3141723,SFO,GDL
7731,3469,San Francisco International Airport,3550,George Bush Intercontinental Houston Airport,100832,3111425,SFO,IAH
7732,3469,San Francisco International Airport,3585,Indianapolis International Airport,117786,3647107,SFO,IND
7736,3469,San Francisco International Airport,5750,Crater Lake-Klamath Regional Airport,20696,586840,SFO,LMT
7737,3469,San Francisco International Airport,3458,Kansas City International Airport,93409,2903025,SFO,MCI
7739,3469,San Francisco International Airport,1824,Licenciado Benito Juarez International Airport,135451,3550493,SFO,MEX
7740,3469,San Francisco International Airport,4101,Rogue Valley International Medford Airport,21098,606695,SFO,MFR
7741,3469,San Francisco International Airport,3816,Modesto City Co-Harry Sham Field,5777,148374,SFO,MOD
7742,3469,San Francisco International Airport,3948,Monterey Peninsula Airport,6203,172536,SFO,MRY
7743,3469,San Francisco International Airport,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,103014,3194578,SFO,MSP
7744,3469,San Francisco International Airport,3861,Louis Armstrong New Orleans International Airport,116860,3566624,SFO,MSY
7745,3469,San Francisco International Airport,3863,Will Rogers World Airport,84923,2602082,SFO,OKC
7746,3469,San Francisco International Airport,3734,Ontario International Airport,22727,662400,SFO,ONT
7748,3469,San Francisco International Airport,5757,Southwest Oregon Regional Airport,31714,873607,SFO,OTH
7752,3469,San Francisco International Airport,3570,Pittsburgh International Airport,134176,4149098,SFO,PIT
7753,3469,San Francisco International Airport,6133,Tri Cities Airport,134371,4139188,SFO,PSC
7754,3469,San Francisco International Airport,3839,Palm Springs International Airport,26739,781363,SFO,PSP
7756,3469,San Francisco International Airport,4098,Redding Municipal Airport,12208,356442,SFO,RDD
7757,3469,San Francisco International Airport,4103,Roberts Field,29630,834139,SFO,RDM
7758,3469,San Francisco International Airport,3626,Raleigh Durham International Airport,148122,4557762,SFO,RDU
7759,3469,San Francisco International Airport,3807,Reno Tahoe International Airport,13478,375632,SFO,RNO
7762,3469,San Francisco International Airport,3621,San Antonio International Airport,89791,2773296,SFO,SAT
7763,3469,San Francisco International Airport,3949,Santa Barbara Municipal Airport,17243,511628,SFO,SBA
7764,3469,San Francisco International Airport,5768,San Luis County Regional Airport,12472,361281,SFO,SBP
7767,3469,San Francisco International Airport,3536,Salt Lake City International Airport,38768,1195089,SFO,SLC
7768,3469,San Francisco International Airport,3817,Sacramento International Airport,6033,165075,SFO,SMF
7770,3469,San Francisco International Airport,3678,St Louis Lambert International Airport,106749,3307236,SFO,STL
7771,3469,San Francisco International Airport,3636,Tucson International Airport,46489,1393508,SFO,TUS
7772,3469,San Francisco International Airport,49,Edmonton International Airport,86251,2376940,SFO,YEG
7773,3469,San Francisco International Airport,146,Montreal / Pierre Elliott Trudeau International Airport,154891,4771408,SFO,YUL
7776,3469,San Francisco International Airport,184,Victoria International Airport,58876,1474006,SFO,YYJ
7777,3469,San Francisco International Airport,193,Lester B. Pearson International Airport,136843,4241691,SFO,YYZ
7778,4348,Springfield Branson National Airport,3751,Denver International Airport,38895,1214633,SGF,DEN
7780,4064,St George Municipal Airport,3751,Denver International Airport,34701,1066143,SGU,DEN
7781,7062,Shenandoah Valley Regional Airport,3714,Washington Dulles International Airport,7018,210810,SHD,IAD
7782,3609,Shreveport Regional Airport,3751,Denver International Airport,51895,1533464,SHV,DEN
7783,3609,Shreveport Regional Airport,3550,George Bush Intercontinental Houston Airport,12937,347066,SHV,IAH
7785,3748,Norman Y. Mineta San Jose International Airport,3550,George Bush Intercontinental Houston Airport,98987,3059135,SJC,IAH
7788,3536,Salt Lake City International Airport,3550,George Bush Intercontinental Houston Airport,79876,2368846,SLC,IAH
7791,3536,Salt Lake City International Airport,3469,San Francisco International Airport,38892,1194090,SLC,SFO
7792,3817,Sacramento International Airport,4384,California Redwood Coast-Humboldt County Airport,18555,477097,SMF,ACV
7794,3817,Sacramento International Airport,3714,Washington Dulles International Airport,142678,4390079,SMF,IAD
7795,3817,Sacramento International Airport,3550,George Bush Intercontinental Houston Airport,101448,3143460,SMF,IAH
7797,3817,Sacramento International Airport,3830,Chicago O'Hare International Airport,105628,3297056,SMF,ORD
7798,3817,Sacramento International Airport,3469,San Francisco International Airport,6029,164258,SMF,SFO
7799,5772,Santa Maria Pub/Capt G Allan Hancock Field,3484,Los Angeles International Airport,9841,256712,SMX,LAX
7801,3867,John Wayne Airport-Orange County Airport,3494,Newark Liberty International Airport,145630,4498487,SNA,EWR
7802,3867,John Wayne Airport-Orange County Airport,3550,George Bush Intercontinental Houston Airport,80047,2494303,SNA,IAH
7807,4067,Sarasota Bradenton International Airport,3830,Chicago O'Hare International Airport,65099,2002333,SRQ,ORD
7808,4271,St Cloud Regional Airport,3830,Chicago O'Hare International Airport,23797,735773,STC,ORD
7809,3678,St Louis Lambert International Airport,3486,Cleveland Hopkins International Airport,29675,898677,STL,CLE
7812,3678,St Louis Lambert International Airport,3714,Washington Dulles International Airport,45133,1315796,STL,IAD
7813,3678,St Louis Lambert International Airport,3550,George Bush Intercontinental Houston Airport,43089,1243177,STL,IAH
7815,3678,St Louis Lambert International Airport,3469,San Francisco International Airport,107160,3300326,STL,SFO
7816,3678,St Louis Lambert International Airport,193,Lester B. Pearson International Airport,40761,1216823,STL,YYZ
