,SRC_AIRPT_ID,SRCNAME,DESTIN_AIRPT_ID,DESTINNAME,seconds,meters,SRCIATA,DESTINIATA
701,3670,Dallas Fort Worth International Airport,3708,San Angelo Regional Mathis Field,14288,419192,DFW,SJT
713,3670,Dallas Fort Worth International Airport,3636,Tucson International Airport,48248,1507947,DFW,TUS
754,3494,Newark Liberty International Airport,3576,Miami International Airport,66218,2050883,EWR,MIA
759,3875,Key West International Airport,3576,Miami International Airport,11712,254942,EYW,MIA
768,3533,Fort Lauderdale Hollywood International Airport,3876,Charlotte Douglas International Airport,36569,1153192,FLL,CLT
772,3533,Fort Lauderdale Hollywood International Airport,3752,Philadelphia International Airport,60367,1875015,FLL,PHL
825,3550,George Bush Intercontinental Houston Airport,3752,Philadelphia International Airport,81277,2482927,IAH,PHL
889,3877,McCarran International Airport,3520,Ronald Reagan Washington National Airport,126998,3953081,LAS,DCA
1037,3576,Miami International Airport,3825,Bradley International Airport,74295,2274410,MIA,BDL
1040,3576,Miami International Airport,3448,General Edward Lawrence Logan International Airport,78926,2411859,MIA,BOS
1043,3576,Miami International Airport,3806,Charleston Air Force Base-International Airport,30935,953375,MIA,CHS
1044,3576,Miami International Airport,3486,Cleveland Hopkins International Airport,65422,2014965,MIA,CLE
1045,3576,Miami International Airport,3876,Charlotte Douglas International Airport,37659,1187762,MIA,CLT
1046,3576,Miami International Airport,3759,John Glenn Columbus International Airport,61448,1874053,MIA,CMH
1050,3576,Miami International Airport,3520,Ronald Reagan Washington National Airport,53900,1700435,MIA,DCA
1054,3576,Miami International Airport,3494,Newark Liberty International Airport,65858,2047966,MIA,EWR
1057,3576,Miami International Airport,4008,Piedmont Triad International Airport,42339,1317650,MIA,GSO
1059,3576,Miami International Airport,3714,Washington Dulles International Airport,54778,1714050,MIA,IAD
1062,3576,Miami International Airport,3712,Jacksonville International Airport,18736,590040,MIA,JAX
1075,3576,Miami International Airport,3611,Norfolk International Airport,50265,1567763,MIA,ORF
1076,3576,Miami International Airport,3752,Philadelphia International Airport,61457,1909585,MIA,PHL
1078,3576,Miami International Airport,3570,Pittsburgh International Airport,62332,1906925,MIA,PIT
1081,3576,Miami International Airport,3626,Raleigh Durham International Airport,41585,1318789,MIA,RDU
1082,3576,Miami International Airport,3608,Richmond International Airport,48176,1530956,MIA,RIC
1095,3576,Miami International Airport,146,Montreal / Pierre Elliott Trudeau International Airport,86682,2652305,MIA,YUL
1122,3861,Louis Armstrong New Orleans International Airport,3520,Ronald Reagan Washington National Airport,57281,1763745,MSY,DCA
1126,3861,Louis Armstrong New Orleans International Airport,3752,Philadelphia International Airport,64278,1965783,MSY,PHL
1261,3722,Palm Beach International Airport,3876,Charlotte Douglas International Airport,33950,1078308,PBI,CLT
1262,3722,Palm Beach International Airport,3520,Ronald Reagan Washington National Airport,50190,1590981,PBI,DCA
1267,3722,Palm Beach International Airport,3752,Philadelphia International Airport,57748,1800131,PBI,PHL
1289,3752,Philadelphia International Airport,3864,Albany International Airport,13923,403329,PHL,ALB
1300,3752,Philadelphia International Airport,3711,Burlington International Airport,23787,630496,PHL,BTV
1306,3752,Philadelphia International Airport,3806,Charleston Air Force Base-International Airport,35101,1053190,PHL,CHS
1368,3752,Philadelphia International Airport,3661,Stewart International Airport,9572,260108,PHL,SWF
1374,3752,Philadelphia International Airport,111,Quebec Jean Lesage International Airport,33415,976725,PHL,YQB
1375,3752,Philadelphia International Airport,146,Montreal / Pierre Elliott Trudeau International Airport,25947,750116,PHL,YUL
1646,3646,Tampa International Airport,3576,Miami International Airport,14536,452698,TPA,MIA
1680,3690,Nashville International Airport,193,Lester B. Pearson International Airport,40345,1216324,BNA,YYZ
1685,3849,Baltimore/Washington International Thurgood Marshall Airport,193,Lester B. Pearson International Airport,28082,766692,BWI,YYZ
